eng,myn
I always eat this set meal for lunch.,နေ့လယ်စာ အမြဲတမ်း ဒီဆက်မီနူးကို စားတယ်။
The set meal in that cafeteria is cheap and good.,အဲဒီစားသောက်ဆိုင်ကဆက်မီနူးက ဈေးသက်သာပြီး စားလို့ကောင်းတယ်။
I asked the store staff for food.,ဆိုင်ဝန်ထမ်းကို အစားအသောက် မှာလိုက်တယ်။
The staff at this restaurant seems busy.,ဒီစားသောက်ဆိုင်ကဆိုင်ဝန်ထမ်းတွေ အလုပ်များတဲ့ပုံပဲ။
I drink coffee without milk.,ကျွန်တော် ကော်ဖီကို နို့ မထည့်ဘဲ သောက်တယ်။
I eat bread and drink milk every morning.,မနက်တိုင်း ပေါင်မုန့် စားပြီး နွားနို့ သောက်တယ်။
The socks section is on the first floor.,ခြေအိတ်အရောင်းကောင်တာက တစ်ထပ်မှာ ရှိတယ်။
I bought this bag with my credit card.,ဒီလွယ်အိတ် အကြွေးဝယ်ကတ်နဲ့ ဝယ်ထားတာ။
I will put my credit card in my wallet.,ပိုက်ဆံအိတ်ထဲ အကြွေးဝယ်ကတ်ကို ထည့်တယ်။
We use the card when we shop.,ဈေးဝယ်တဲ့အခါ ခရက်ဒစ်ကတ်ကို သုံးတယ်။
Surface mail takes longer but it is cheaper.,ရေကြောင်းလိုင်းနဲ့ ပို့တာက အချိန်ကြာပေမဲ့ ဈေးသက်သာတယ်။
Airmail is faster than surface mail.,သင်္ဘောလိုင်းထက်စာရင် လေယာဉ်နဲ့ ပို့တာက မြန်မြန် ရောက်တယ်။
I sent baggage to my mother yesterday.,မနေ့က အမေ့ဆီ ပစ္စည်း ပို့လိုက်တယ်။
"I sent it by airmail, so it was a little bit expensive.",လေကြောင်းလိုင်းနဲ့ ပို့လိုက်လို့ နည်းနည်း ဈေးများတယ်။
I do not want to wear a suit because it is hot in the summer.,နွေရာသီဆို ပူလို့ အနောက်တိုင်းဝတ်စုံ မဝတ်ချင်ဘူး။
I wear a suit when I go to work.,ကုမ္ပဏီ သွားတဲ့အခါ အနောက်တိုင်းဝတ်စုံ ဝတ်တယ်။
I got a shirt from my friends on my birthday.,မွေးနေ့မှာ သူငယ်ချင်းဆီက ရှပ်အင်္ကျီ လက်ဆောင်ရတယ်။
"Ms Kimura is a student, but Mr Tanaka is an office worker.",မစ္စတာခိမုရက ကျောင်းသား ဖြစ်ပြီး မစ္စတာတာနာခါကတော့ ကုမ္ပဏီဝန်ထမ်း ဖြစ်ပါတယ်။
I will go shopping at the supermarket.,စူပါမားကက်ကို ဈေးဝယ် သွားတယ်။
How many pieces of bread did you buy?,ပေါင်မုန့် ဘယ်နှခု ဝယ်လိုက်လဲ။
How many cups are on the table?,စားပွဲပေါ်မှာ ခွက် ဘယ်နှခွက် ရှိသလဲ။
Japanese people use chopsticks to eat.,ဂျပန်လူမျိုးတွေက တူနဲ့ ထမင်းစားတယ်။
"After going for a walk in the park, we will go home.",ပန်းခြံမှာ လမ်းလျှောက်ပြီး အိမ်ပြန်မယ်။
I practise tennis every day.,ကျွန်တော် နေ့တိုင်း တင်းနစ် လေ့ကျင့်တယ်။
I like baseball the best of all the sports.,အားကစားဆို ဘေ့စ်ဘောကို အကြိုက်ဆုံးပဲ။
Mr Matsui is better at football than baseball.,မစ္စတာမဆုအိက ဘောလုံးထက် ဘေ့စ်ဘော ပိုတော်တယ်။
"It was raining, so there wasn't a baseball game.",မိုးရွာလို့ ဘေ့စ်ဘောပြိုင်ပွဲ မရှိဘူး။
There is going to be a tennis match tomorrow.,မနက်ဖန် တင်းနစ်ပြိုင်ပွဲ ရှိတယ်။
Brazil is a country that has a strong football team.,ဘရာဇီးဟာ ဘောလုံး အရမ်း အားသာတဲ့နိုင်ငံ ဖြစ်တယ်။
I cannot play sport because my body is weak.,ကိုယ်ခံအား မကောင်းလို့ အားကစားလုပ်လို့မရဘူး။
I will clean my room because it is dirty.,အခန်းက ညစ်ပတ်နေလို့ သန့်ရှင်းရေးလုပ်မယ်။
The sea around here is dirty.,ဒီအနီးတဝိုက်ကပင်လယ်က ညစ်ပတ်တယ်။
I forgot to turn off the lights when I went out.,အပြင်ထွက်တုန်းက မီးပိတ်ဖို့ မေ့သွားတယ်။
I turn off the lights before I go to sleep.,မအိပ်ခင် မီးပိတ်တယ်။
I will go home for today.,ဒီနေ့တော့ အိမ်ပြန်မယ်။
I lost my keys yesterday.,မနေ့က သော့ ပျောက်သွားတယ်။
This is my home key.,ဒါ ကျွန်တော့်အိမ်သော့ပါ။
There is a cat in front of the gate of the house.,အိမ်ကတံခါးရဲ့ရှေ့မှာ ကြောင် ရှိတယ်။
The water in this river is clean.,ဒီချောင်းကရေက သန့်တယ်။
Mr Lee can speak Japanese.,မစ္စတာလီက ဂျပန်လို တတ်တယ်။
I will borrow money from the bank.,ဘဏ်မှာ ငွေချေးတယ်။
My father is a bank employee.,ကျွန်တော့်အဖေက ဘဏ်ဝန်ထမ်းပါ။
The bank employees at the counter are mostly women.,ကောင်တာမှာ ရှိတဲ့ ဘဏ်ဝန်ထမ်းတွေက မိန်းကလေးတွေ များတယ်။
I will transfer money at the counter.,ဘဏ်ကောင်တာကနေ ငွေလွှဲမယ်။
I will go to the bank to transfer money.,ဘဏ်မှာ ငွေ သွားလွှဲမယ်။
I received a bank transfer form at the counter.,ကောင်တာကနေ ငွေလွှဲပုံစံစာရွက် ရခဲ့တယ်။
I will write my name and address on this form.,ဒီစာရွက်မှာ နာမည်နဲ့ လိပ်စာ ရေးမယ်။
I will remember the number written on this paper.,စာရွက်မှာ ရေးထားတဲ့ နံပါတ်ကို မှတ်တယ်။
I told my friend my new address.,သူငယ်ချင်းကို လိပ်စာအသစ် ပေးလိုက်တယ်။
That person is a teacher at this school.,အဲဒီပုဂ္ဂိုလ်က ဒီကျောင်းကဆရာပါ။
It is very fun to talk with foreigners.,နိုင်ငံခြားသားနဲ့ စကားပြောရတာ ပျော်ဖို့ကောင်းတယ်။
I came to this country three years ago.,လွန်ခဲ့တဲ့သုံးနှစ်က ဒီနိုင်ငံကို လာခဲ့တယ်။
There is a new airport near here.,အိမ်နားက လေဆိပ်အသစ်ကြီး ဆောက်ပြီးသွားပြီ။
We show our passports at the airport.,လေဆိပ်မှာ ပတ်စပို့ကို ပြတယ်။
